0,8
1,8
2,8
3,8
4,8
5,3
6,3
7,3
8,3
9,3
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,1
22,1
23,1
24,1
25,0
26,0
27,0
28,0
29,0
30,4
31,4
32,4
33,4
34,4
35,6
36,6
37,6
38,6
39,6
40,1
41,1
42,1
43,1
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,1
62,1
63,1
64,1
65,2
66,2
67,2
68,2
69,2
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,10
81,10
82,10
83,10
84,10
85,2
86,2
87,2
88,2
89,2
90,0
91,0
92,0
93,0
94,0
95,7
96,7
97,7
98,7
99,7
100,5
101,5
102,5
103,5
104,5
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,9
116,9
117,9
118,9
119,9
120,1
121,1
122,1
123,1
124,1
