0,2
1,3
2,1
3,5
4,4
5,0
6,0
7,0
8,0
9,0
10,0
11,4
12,5
13,0
14,0
15,0
16,0
17,0
18,2
19,1
20,0
21,3
22,0
23,0
24,0
25,2
26,0
27,0
28,2
29,0
30,4
31,0
32,0
33,5
34,0
35,0
36,1
37,2
38,0
39,2
40,3
41,4
42,2
43,0
44,0
45,1
46,0
47,5
48,0
49,2
50,5
51,0
52,5
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,1
62,2
63,1
64,0
65,3
66,0
67,0
68,3
69,0
70,1
71,3
72,0
73,0
74,0
75,0
76,2
77,4
78,0
79,4
80,0
81,2
82,0
83,1
84,0
85,0
86,3
87,0
88,5
89,2
90,1
91,0
92,3
93,0
94,2
95,3
96,0
97,5
98,2
99,0
100,0
101,0
102,2
103,4
104,2
105,0
106,3
107,0
108,1
109,0
110,4
111,3
112,0
113,0
114,2
115,5
116,0
117,0
118,1
119,1
120,0
121,0
122,3
123,0
124,0
125,0
126,0
127,4
128,0
129,0
130,0
131,5
132,4
133,0
134,3
135,0
136,2
137,1
138,0
139,0
140,0
141,0
142,5
143,1
144,0
145,0
146,2
147,1
148,0
149,3
