0,3
1,7
2,10
3,3
4,0
5,0
6,8
7,6
8,9
9,3
10,11
11,9
12,5
13,4
14,3
15,7
16,2
17,5
18,7
19,7
20,1
21,3
22,4
23,1
24,4
25,1
26,4
27,0
28,2
29,7
30,10
31,1
32,1
33,2
34,5
35,0
36,9
37,10
38,4
39,4
40,5
41,4
42,6
43,5
44,9
45,1
46,8
47,0
48,11
49,7
50,0
51,1
52,10
53,6
54,2
55,10
56,0
57,1
58,3
59,1
60,6
61,2
62,2
63,11
64,6
65,5
66,4
67,7
68,10
69,10
70,3
71,5
72,10
73,8
74,6
75,6
76,4
77,11
78,6
79,2
80,11
81,4
82,6
83,3
84,9
85,3
86,4
87,5
88,0
89,7
90,6
91,4
92,5
93,8
94,9
95,11
96,2
97,5
98,9
99,1
100,10
101,0
102,7
103,8
104,1
105,0
106,0
107,9
108,3
109,0
110,0
111,0
112,1
113,2
114,6
